epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.338682,0.16011596,0.20013717,0.72234976,20.0,-2.9099898,0.0,100.0,0.0019999999552965165
1,0.34095845,0.15919454,0.19849175,0.7144072,40.0,-4.9532537,0.0,200.0,0.0
2,0.34183344,0.1590973,0.19797346,0.71102154,60.0,-7.146781,0.0,300.0,0.0
3,0.34135896,0.15928866,0.19760385,0.70975053,80.0,-9.143217,0.005000000074505806,400.0,0.0
4,0.34120134,0.1600844,0.19694628,0.71038073,100.0,-11.110982,0.0,500.0,0.0009999999776482583
5,0.34137797,0.16099194,0.1967781,0.71248716,120.0,-13.120218,0.005000000074505806,600.0,0.0009999999776482583
6,0.3416997,0.1615118,0.1969613,0.7142375,140.0,-14.786638,0.015000000223517418,700.0,0.003999999910593033
7,0.3422738,0.1628796,0.19717641,0.719046,160.0,-15.95663,0.010000000149011612,800.0,0.0
8,0.3431438,0.1639,0.19723713,0.7232258,180.0,-17.120213,0.030000000447034835,900.0,0.0019999999552965165
9,0.34394723,0.16507141,0.19704205,0.72717947,200.0,-19.099762,0.005000000074505806,1000.0,0.0
10,0.34451872,0.16611634,0.1970553,0.73094773,220.0,-20.211056,0.020000000670552253,1100.0,0.0019999999552965165
11,0.34524217,0.16770515,0.19699386,0.7348161,240.0,-20.924149,0.020000000298023225,1200.0,0.0029999999329447745
12,0.34568402,0.16893707,0.19695196,0.73933,260.0,-22.00842,0.030000000819563867,1300.0,0.0029999999329447745
13,0.34635016,0.16973427,0.19698517,0.7437152,280.0,-23.955616,0.015000000223517418,1400.0,0.0009999999776482583
14,0.34687075,0.17058793,0.19710605,0.7470618,300.0,-25.429932,0.020000000298023225,1500.0,0.0019999999552965165
15,0.34731263,0.17141543,0.19722311,0.75045395,320.0,-26.405096,0.010000000149011612,1600.0,0.0009999999776482583
16,0.34791908,0.17253426,0.19743766,0.754176,340.0,-26.957546,0.05000000111758709,1700.0,0.0019999999552965165
17,0.34827995,0.17352815,0.19753052,0.7579998,360.0,-28.647303,0.030000000447034835,1800.0,0.0009999999776482583
18,0.34869996,0.17447922,0.19772583,0.76148695,380.0,-27.989634,0.04000000096857548,1900.0,0.0019999999552965165
19,0.3490449,0.17501307,0.19775665,0.7653138,400.0,-28.765305,0.04000000096857548,2000.0,0.0019999999552965165
20,0.34937534,0.17552003,0.19783874,0.76861495,420.0,-29.535303,0.07000000067055226,2100.0,0.0019999999552965165
21,0.34944302,0.17628442,0.19796963,0.77201337,440.0,-30.514301,0.055000001564621925,2200.0,0.0019999999552965165
22,0.34967276,0.17705725,0.19803692,0.77569604,460.0,-31.19459,0.05000000186264515,2300.0,0.0009999999776482583
23,0.34988934,0.17775014,0.19811183,0.77913636,480.0,-31.366556,0.055000001564621925,2400.0,0.0009999999776482583
24,0.3502295,0.1783841,0.19828397,0.7827096,500.0,-31.140131,0.11000000014901161,2500.0,0.004999999888241291
25,0.35074857,0.17903736,0.19835186,0.7864428,520.0,-29.927668,0.11,2600.0,0.003999999910593033
26,0.35114962,0.17974927,0.19832551,0.78990734,540.0,-30.45039,0.10500000342726708,2700.0,0.0029999999329447745
27,0.3515138,0.18035047,0.19835925,0.7930795,560.0,-33.44558,0.07500000111758709,2800.0,0.0019999999552965165
28,0.35175875,0.18080635,0.19845302,0.7959116,580.0,-31.700146,0.09499999955296516,2900.0,0.005999999865889549
